day	hour	value
7	23	11358
7	22	12185
7	21	12031
7	20	12347
7	19	13794
7	18	17031
7	17	17946
7	16	17477
7	15	18202
7	14	17911
7	13	17810
7	12	17625
7	11	15853
7	10	13176
7	9	10639
7	8	8435
7	7	6913
7	6	5540
7	5	5136
7	4	5531
7	3	7170
7	2	10620
7	1	12942
7	0	9282
6	23	10720
6	22	11971
6	21	13021
6	20	13981
6	19	17417
6	18	24012
6	17	29177
6	16	27539
6	15	29275
6	14	23694
6	13	19820
6	12	18704
6	11	15841
6	10	13988
6	9	13836
6	8	17816
6	7	17257
6	6	9379
6	5	5895
6	4	3618
6	3	3729
6	2	5257
6	1	8223
6	0	5811
5	23	7139
5	22	8999
5	21	10613
5	20	11523
5	19	14461
5	18	22102
5	17	28053
5	16	24685
5	15	25241
5	14	20430
5	13	17274
5	12	16434
5	11	14528
5	10	13826
5	9	15167
5	8	20932
5	7	20900
5	6	10489
5	5	6120
5	4	3233
5	3	2917
5	2	3873
5	1	6585
5	0	4852
4	23	6199
4	22	7914
4	21	9515
4	20	10636
4	19	14147
4	18	22018
4	17	27795
4	16	24020
4	15	24122
4	14	20196
4	13	17595
4	12	16644
4	11	14489
4	10	13736
4	9	15430
4	8	22013
4	7	21439
4	6	10802
4	5	6103
4	4	3298
4	3	2674
4	2	3487
4	1	6207
4	0	4535
3	23	5788
3	22	7580
3	21	9169
3	20	10182
3	19	13402
3	18	21317
3	17	27815
3	16	24229
3	15	25126
3	14	20120
3	13	16914
3	12	16556
3	11	14320
3	10	13965
3	9	15801
3	8	22404
3	7	22308
3	6	10960
3	5	6250
3	4	2943
3	3	2390
3	2	3059
3	1	5984
3	0	4161
2	23	5607
2	22	7051
2	21	8800
2	20	9758
2	19	12213
2	18	19355
2	17	25093
2	16	22689
2	15	23752
2	14	19575
2	13	16533
2	12	16152
2	11	14076
2	10	13153
2	9	14256
2	8	19308
2	7	19252
2	6	10289
2	5	6285
2	4	3443
2	3	3135
2	2	4344
2	1	7433
2	0	5618
1	23	7184
1	22	8973
1	21	11217
1	20	12200
1	19	12738
1	18	14350
1	17	15285
1	16	14497
1	15	15014
1	14	15163
1	13	14843
1	12	13713
1	11	11948
1	10	9918
1	9	7796
1	8	6072
1	7	5215
1	6	4760
1	5	4833
1	4	5681
1	3	8055
1	2	11304
1	1	14016
1	0	10105